IFIX - Carteira do Dia 03/09/2024
Código,Part. (%)
BCIA11,0.2619
BLMG11,0.125
BCRI11,0.2978
BCFF11,1.1757
AIEC11,0.1805
ARRI11,0.1166
ALZR11,0.9093
AJFI11,0.1819
BPFF11,0.212
BARI11,0.2519
BPML11,0.45059999999999995
BTLG11,3.0437
BRCR11,0.9267
BROF11,0.3775
BTAL11,0.3205
BTCI11,0.6856
FATN11,0.2176
BTRA11,0.105
CACR11,0.349
CLIN11,0.286
CPSH11,0.462
CPTS11,1.8041
CVBI11,0.7134
CYCR11,0.1099
DEVA11,0.3824
BRCO11,1.2491
KNRI11,2.9746
KISU11,0.2454
GTWR11,0.6774
ZAVI11,0.0924
KNIP11,5.2517
GGRC11,0.79
GZIT11,0.8621
HABT11,0.4895
HCTR11,0.45519999999999994
HFOF11,1.0954
HGBS11,1.8518
HGCR11,1.0936
HGFF11,0.1671
HGLG11,3.7381000000000006
HGPO11,0.3657
GARE11,0.7934
HGRE11,0.9116
HSAF11,0.1454
HSLG11,0.7497
HTMX11,0.19669999999999999
IRDM11,1.8086000000000002
JSAF11,0.5204
JSRE11,0.9156
KCRE11,0.24350000000000002
KFOF11,0.416
KIVO11,0.1222
KNCR11,5.0264
KNHF11,1.3131
KNHY11,2.0345
HGRU11,2.4552
HSML11,1.3665
KNSC11,1.1974
RZTR11,1.2167
LGCP11,0.2065
LVBI11,1.2144
MALL11,0.9657000000000001
MANA11,0.23739999999999997
MCCI11,1.0558
MCHY11,0.715
MFII11,0.3691
MXRF11,3.0217
OUJP11,0.1783
PATL11,0.21
PVBI11,1.7333
RBFF11,0.1568
RBRF11,0.7097
RBRL11,0.3687
RBRP11,0.4846
RBRR11,0.9424999999999999
RBRX11,0.1837
RBRY11,0.8480999999999999
RBVA11,0.9106
RCRB11,0.3379
RECR11,1.5428
RECT11,0.2046
RVBI11,0.5249
AFHI11,0.3054
XPSF11,0.2234
KORE11,0.685
RZAK11,0.5014
PORD11,0.22470000000000004
RZAT11,0.2521
KNUQ11,1.1113
SNEL11,0.11939999999999999
SNFF11,0.2828
SPXS11,0.13
TEPP11,0.2589
TGAR11,1.9113000000000002
TRBL11,0.5135
TRXF11,1.453
TVRI11,1.1273
URPR11,0.6567
VCJR11,0.9226
VGHF11,1.0031
VGIP11,0.7177
SNCI11,0.2801
VILG11,0.8964999999999999
VGIR11,1.0925
XPML11,4.2683
XPLG11,2.091
XPIN11,0.3906
XPCI11,0.5197
WHGR11,0.2053
SARE11,0.2487
VRTA11,0.9550999999999998
VIUR11,0.1201
VISC11,2.2199
VINO11,0.3378
VSLH11,0.0741
Total,100.0
