IFIX - Carteira do Dia 17/12/2024
Código,Part. (%)
RVBI11,0.4842
GTWR11,0.6757
XPIN11,0.3786
XPCI11,0.4954
WHGR11,0.2039
VSLH11,0.0723
VRTA11,0.9035999999999998
VIUR11,0.1161
VISC11,2.1392
VINO11,0.3013
VILG11,0.8721
VGIR11,1.0979
VGIP11,0.6702
XPLG11,2.1738
VGHF11,0.9365999999999999
URPR11,0.4902
TVRI11,1.0754
TRXF11,1.5833
TRBL11,0.3687
TGAR11,1.6652
TEPP11,0.2515
SPXS11,0.1272
SNFF11,0.2743
SNEL11,0.45830000000000004
SNCI11,0.2703
KNUQ11,1.1569
VCJR11,0.8345
XPML11,4.3039
SARE11,0.2719
RZTR11,1.2527
RECT11,0.1792
RECR11,1.4929
RCRB11,0.3422
RBVA11,0.8378
RBRY11,0.8114
RBRX11,0.1678
RBRR11,0.9705999999999999
RBRP11,0.485
RBRL11,0.343
RBRF11,0.6731
RZAK11,0.5008
RBFF11,0.1406
PORD11,0.212
PATL11,0.1764
OUJP11,0.1854
MXRF11,3.2098
MFII11,0.3494
MCRE11,0.6373
MCCI11,1.0259
MANA11,0.22459999999999997
MALL11,0.9516
LVBI11,1.183
KORE11,0.5882
PVBI11,1.5919000000000003
RZAT11,0.23510000000000003
KNSC11,1.2227
ZAVI11,0.0781
KNRI11,3.0012
FATN11,0.2121
KNHF11,1.2334
KNCR11,7.026599999999999
KIVO11,0.1043
KISU11,0.2356
KFOF11,0.4006
KCRE11,0.2271
JSRE11,0.9707
JSAF11,0.4502
IRDM11,1.7646
INLG11,0.1862
HTMX11,0.4086
KNHY11,2.2266
HSML11,1.2215
HSAF11,0.1426
HGRU11,2.5007
HGRE11,0.9389
HGPO11,0.1732
HGLG11,4.1068
HGFF11,0.153
HGCR11,1.1192
HGBS11,1.8554000000000002
HFOF11,1.0102
HCTR11,0.3297
HABT11,0.461
HSLG11,0.7604
GZIT11,0.7001
GGRC11,0.8012999999999999
XPSF11,0.20779999999999998
DEVA11,0.2974
CYCR11,0.1062
CVBI11,0.6563
CPTS11,1.6175
CPSH11,0.4699
CLIN11,0.2698
CACR11,0.3121
BTRA11,0.1057
BTLG11,3.0889
BTCI11,0.6357
BTAL11,0.3289
BROF11,0.3922
BRCR11,0.8656
BRCO11,1.259
BPML11,0.4032
BPFF11,0.19940000000000002
BLMG11,0.0906
BCRI11,0.2968
BCIA11,0.2376
BARI11,0.2298
ARRI11,0.11819999999999999
ALZR11,0.9483
AJFI11,0.1824
AIEC11,0.1627
GARE11,1.1532
KNIP11,5.6004
AFHI11,0.3218
Total,100.0
