IFIX - Carteira do Dia 23/08/2024
Código,Part. (%)
BCFF11,1.1862
GGRC11,0.7779
BCRI11,0.3049
BCIA11,0.2751
BARI11,0.2616
GARE11,0.8144
ALZR11,1.0201
AJFI11,0.1889
AIEC11,0.1895
BRCR11,0.958
BLMG11,0.11840000000000002
ARRI11,0.1384
BPFF11,0.22100000000000003
BTLG11,3.1488
BROF11,0.3927
FATN11,0.1538
BTAL11,0.3355
BTCI11,0.7048
BTRA11,0.1148
CACR11,0.3822
CLIN11,0.2933
CPFF11,0.1302
CPTS11,1.8643
CVBI11,0.735
CYCR11,0.11349999999999999
BRCO11,1.4167
GTWR11,0.7017
DEVA11,0.3765
KNIP11,5.4629
XPSF11,0.2318
XPPR11,0.0957
HABT11,0.5141
HCTR11,0.4624
HFOF11,1.1369
HGBS11,1.9088
HGCR11,1.1356
HGFF11,0.1722
HGLG11,3.8785
HGPO11,0.3742
HGRE11,0.9622999999999999
HGRU11,2.5433
HSAF11,0.1513
HSLG11,0.7665
HSML11,1.3864
HTMX11,0.199
IRDM11,1.8547
JSAF11,0.532
JSRE11,0.9597
KCRE11,0.2496
KFOF11,0.2864
KISU11,0.2558
KNCR11,4.9993
KNHF11,1.3588
KNHY11,2.1274
KNRI11,3.2942
KNSC11,1.2345
KORE11,0.7049
LGCP11,0.2133
MALL11,0.9966
MCCI11,1.0814
MCHY11,0.7427
MFII11,0.321
MXRF11,2.9782
NCHB11,0.1006
OUJP11,0.1857
PATL11,0.21360000000000004
PLCR11,0.1288
PORD11,0.23380000000000004
PVBI11,1.7017
RBFF11,0.1624
RBRF11,0.7373
RBRL11,0.3875
RBRP11,0.505
RBRR11,0.9754
RBRX11,0.1898
RBRY11,0.9695
RBVA11,0.9393
RCRB11,0.3521
RECR11,1.5942
RECT11,0.20990000000000003
RVBI11,0.5415
RZAK11,0.5151
RZAT11,0.2597
LVBI11,1.2904
AFHI11,0.3612
SNCI11,0.2862
VGIP11,0.7362
SNFF11,0.1783
SPXS11,0.1335
TEPP11,0.2676
TGAR11,2.0335
TORD11,0.0314
TRBL11,0.535
RZTR11,1.2591
TVRI11,1.1647
URPR11,0.6869
VCJR11,0.9665
VGHF11,1.0318
TRXF11,1.3353
SARE11,0.2646
VGIR11,1.285
XPLG11,2.1632
XPIN11,0.3986
XPCI11,0.5426
WHGR11,0.1732
XPML11,4.2874
VRTA11,0.996
VIUR11,0.1245
VISC11,2.3047
VINO11,0.3557
VILG11,0.9421999999999999
VSLH11,0.0722
Total,100.0
