IFIX - Carteira do Dia 25/10/2024
Código,Part. (%)
BCRI11,0.2909
XPSF11,0.21379999999999996
BPFF11,0.20439999999999997
BLMG11,0.10779999999999999
BCIA11,0.24919999999999998
GARE11,0.8282000000000002
ARRI11,0.11690000000000002
ALZR11,0.9093
AJFI11,0.1722
AIEC11,0.1655
BPML11,0.4453
BARI11,0.2539
BRCO11,1.2563
BTRA11,0.0949
BROF11,0.3906
BTAL11,0.3122
BTCI11,0.6822
BTLG11,3.0608
CACR11,0.3566
CLIN11,0.2965
CPSH11,0.4701
CPTS11,1.7630999999999997
CVBI11,0.6811
CYCR11,0.10239999999999999
DEVA11,0.3435
BRCR11,0.8844999999999998
GGRC11,0.7896000000000001
FATN11,0.22559999999999997
KNHY11,2.1361
GTWR11,0.6473
HABT11,0.49329999999999996
HCTR11,0.4559000000000001
HFOF11,1.0694
HGBS11,1.8803
HGCR11,1.1244
HGFF11,0.1588
HGLG11,3.8716
HGPO11,0.3919000000000001
HGRE11,0.9053
HGRU11,2.5303
HSAF11,0.1447
HSLG11,0.7472
HSML11,1.3147
HTMX11,0.20950000000000002
INLG11,0.211
IRDM11,1.7852
JSAF11,0.4983
JSRE11,0.9386
KCRE11,0.2366
KFOF11,0.3938
KISU11,0.24350000000000002
KIVO11,0.1176
KNCR11,6.8702
KNHF11,1.2799
GZIT11,0.775
KNIP11,5.4455
ZAVI11,0.0893
KNSC11,1.2278
KORE11,0.6522
LVBI11,1.209
MALL11,0.9523999999999999
MANA11,0.2339
MCCI11,1.017
MCHY11,0.7061
MFII11,0.3858
MXRF11,3.0268
OUJP11,0.1876
PATL11,0.2013
PORD11,0.2198
RBFF11,0.1468
RZAK11,0.5102
RBRF11,0.6726
RBRL11,0.3551
RBRP11,0.4556
RBRR11,0.9313999999999999
RBRX11,0.1784
RBRY11,0.8706
RBVA11,0.9133
RCRB11,0.3631
RECR11,1.5187
RECT11,0.1902
RVBI11,0.5221
AFHI11,0.3163
PVBI11,1.6158
RZAT11,0.247
KNRI11,2.8703
SARE11,0.2695
RZTR11,1.1872
SNCI11,0.2745
SNEL11,0.1276
SNFF11,0.2724
SPXS11,0.1345
TEPP11,0.2707
TGAR11,1.7126
TRBL11,0.4596
TRXF11,1.4901
TVRI11,1.1299
URPR11,0.5795
VCJR11,0.9128
VGHF11,0.9248
KNUQ11,1.1708
VGIR11,1.0955
VGIP11,0.7268
XPLG11,2.1022
XPIN11,0.3797
XPCI11,0.5161
WHGR11,0.2039
XPML11,4.2315
VRTA11,0.9479999999999998
VIUR11,0.1201
VISC11,2.1484
VINO11,0.3057
VILG11,0.9020999999999999
VSLH11,0.0741
Total,100.0
