IFIX - Carteira do Dia 13/05/2024
Código,Part. (%)
BCFF11,1.2865
GGRC11,0.8146
BCRI11,0.3103
BCIA11,0.2742
BARI11,0.269
GARE11,0.8171000000000002
ALZR11,0.8147999999999999
AJFI11,0.2087
AIEC11,0.1815
BRCR11,1.072
BLMG11,0.11690000000000002
ARRI11,0.1137
BPFF11,0.22500000000000003
BTLG11,3.1722
BROF11,0.4661
FATN11,0.1599
BTAL11,0.2987
BTCI11,0.72
BTRA11,0.1345
CACR11,0.2867
CLIN11,0.3011
CPFF11,0.1385
CPTS11,1.9453000000000003
CVBI11,0.7433
CYCR11,0.1117
BRCO11,1.4669
GTWR11,0.7189
XPSF11,0.2511
KNIP11,5.5321
DEVA11,0.47139999999999993
XPPR11,0.10289999999999999
HABT11,0.5293
HCTR11,0.5064
HFOF11,1.2582
HGBS11,2.0069
HGCR11,1.1484
HGFF11,0.1782
HGLG11,3.9649000000000005
HGPO11,0.3831
HGRE11,1.0689
HGRU11,1.7103
HSAF11,0.1535
HSLG11,0.8338
HSML11,1.4218
HTMX11,0.1866
IRDM11,2.0117
JSAF11,0.5502
JSRE11,1.0327
KCRE11,0.2493
KFOF11,0.3102
KISU11,0.2658
KNCR11,4.2185
KNHF11,1.4071
KNHY11,2.1408
KNRI11,3.4591
KNSC11,0.8647
KORE11,0.7492
LGCP11,0.21479999999999996
MALL11,1.0542
MCCI11,1.1153
MCHY11,0.7811
MFII11,0.3272
MXRF11,2.469
NCHB11,0.10540000000000001
OUJP11,0.21579999999999996
PATL11,0.2171
PLCR11,0.1314
PORD11,0.23909999999999998
PVBI11,1.8093
RBFF11,0.1663
RBRF11,0.788
RBRL11,0.3861
RBRP11,0.5322
RBRR11,0.9985
RBRX11,0.2023
RBRY11,1.0082
RBVA11,0.9735
RCRB11,0.415
RECR11,1.6659999999999997
RECT11,0.2319
RVBI11,0.5708
RZAK11,0.5514
RZAT11,0.2664
LVBI11,1.3501
AFHI11,0.2807
SNCI11,0.2907
VGIP11,0.7746
SNFF11,0.181
SPXS11,0.1389
TEPP11,0.2903
TGAR11,1.7007
TORD11,0.0456
TRBL11,0.5555
RZTR11,1.3186
TVRI11,1.1373
URPR11,0.7072
VCJR11,0.9695
VGHF11,1.0505
TRXF11,1.3859
SARE11,0.3139
VGIR11,0.9451
XPLG11,2.2203
XPIN11,0.3981
XPCI11,0.5458
WHGR11,0.1758
XPML11,4.5039
VRTA11,0.9764
VIUR11,0.1303
VISC11,2.5036
VINO11,0.47619999999999996
VILG11,0.987
VSLH11,0.0744
Total,100.0
