IFIX - Carteira do Dia 20/08/2024
Código,Part. (%)
BCFF11,1.1936
BCRI11,0.3013
BCIA11,0.2747
BARI11,0.2628
GARE11,0.8153
ALZR11,1.0201
AJFI11,0.1862
AIEC11,0.1908
BRCR11,0.9513
BLMG11,0.11969999999999999
ARRI11,0.1378
BPFF11,0.22100000000000003
CYCR11,0.11399999999999999
BROF11,0.3915
FATN11,0.1539
BTAL11,0.3353
BTCI11,0.7033
BTLG11,3.1527
BTRA11,0.1164
CACR11,0.3801
CLIN11,0.2931
CPFF11,0.1299
CPTS11,1.894
CVBI11,0.7292
GGRC11,0.7836
BRCO11,1.4348
GTWR11,0.6987
HSML11,1.3864
KNIP11,5.4506
DEVA11,0.3755
XPSF11,0.2316
XPPR11,0.0954
HABT11,0.5132
HCTR11,0.4533
HFOF11,1.1495
HGBS11,1.9286
HGCR11,1.1304
HGFF11,0.1732
HGLG11,3.8630999999999998
HGPO11,0.3743
HGRE11,0.9651
HGRU11,2.542
HSAF11,0.1507
HSLG11,0.7687
HTMX11,0.196
IRDM11,1.855
JSAF11,0.5233
JSRE11,0.96
KCRE11,0.24909999999999996
KFOF11,0.2869
KISU11,0.2552
KNCR11,4.9524
KNHF11,1.3631
KNHY11,2.1237
KNRI11,3.3185
KNSC11,1.2305
KORE11,0.698
LGCP11,0.2133
MALL11,0.9976
MCCI11,1.0894
MCHY11,0.7491
MFII11,0.3199
MXRF11,2.9693
NCHB11,0.1006
OUJP11,0.1889
PATL11,0.2131
PLCR11,0.1294
PORD11,0.2362
RBRF11,0.7424
RBFF11,0.1645
RZAT11,0.2594
RBRP11,0.4931
RBRR11,0.9749000000000001
RBRX11,0.1894
RBRY11,0.9661
RBVA11,0.9398
RCRB11,0.3513
RECR11,1.5945
RECT11,0.2107
RVBI11,0.5407
RZAK11,0.5141
AFHI11,0.3602
RBRL11,0.3756
LVBI11,1.2986
PVBI11,1.7198000000000002
SNCI11,0.2874
RZTR11,1.2617
SNFF11,0.1801
SPXS11,0.1336
TEPP11,0.2669
TGAR11,2.0435
TORD11,0.0331
TRBL11,0.5293
TRXF11,1.3314
TVRI11,1.1555
URPR11,0.6859
VCJR11,0.963
VGHF11,1.0272
VGIR11,1.2759
VGIP11,0.7389
XPCI11,0.5379
VILG11,0.9501
VINO11,0.3565
VISC11,2.3118
VIUR11,0.1248
VRTA11,0.9963999999999998
VSLH11,0.0719
WHGR11,0.1741
SARE11,0.2643
XPIN11,0.3947
XPLG11,2.177
XPML11,4.2766
Total,100.0
