IFIX - Carteira do Dia 14/02/2024
Código,Part. (%)
HGCR11,1.2864
RBRR11,1.0614
BCRI11,0.3675
OUJP11,0.2406
VSLH11,0.0924
XPIN11,0.45710000000000006
BCIA11,0.316
DEVA11,0.4598
PORD11,0.2698
VRTA11,1.0732
RBRX11,0.1394
HFOF11,1.4155
VCJR11,1.1014
KFOF11,0.361
RBRY11,0.7927
HCTR11,0.6132
LGCP11,0.24879999999999997
VINO11,0.5003
HGFF11,0.20180000000000003
CPTS11,2.1375
KISU11,0.2941
KNSC11,0.9575999999999999
VCRI11,0.1198
CYCR11,0.12459999999999999
KNIP11,6.0791
VGIP11,0.8697
RBFF11,0.1812
GGRC11,0.8079
HGBS11,2.3037
RBRF11,0.856
WHGR11,0.1972
ARRI11,0.094
ALZR11,0.9199
VGIR11,0.795
KNRI11,3.1066
PVBI11,1.5344
PATL11,0.2746
BCFF11,1.4408
VGHF11,0.6905
KNHY11,1.5479
CVBI11,0.8132
LVBI11,1.335
XPCI11,0.6147
KNCR11,4.6672
RBRP11,0.5531
RBRL11,0.4555
HABT11,0.5735
PLCR11,0.1447
CACR11,0.3081
TRBL11,0.5039
AFHI11,0.3408
MFII11,0.3727
BTCI11,0.8018
HTMX11,0.1831
SADI11,0.1089
TORD11,0.05600000000000001
HSML11,1.4812
MCCI11,1.2755
SARE11,0.3329
XPSF11,0.2851
HSLG11,0.9642
BARI11,0.3086
BTAL11,0.3416
MCHF11,0.23569999999999997
HGRE11,1.2301
SNCI11,0.3326
BRCR11,1.2477
VIUR11,0.1689
SNFF11,0.1909
TGAR11,1.8893
GARE11,0.9099000000000002
HSAF11,0.1752
BROF11,0.5257
HGRU11,2.0003
SPXS11,0.1512
TEPP11,0.3162
URPR11,0.819
HGPO11,0.4121000000000001
RZTR11,1.1402
RZAT11,0.2817
RBVA11,1.2855
AIEC11,0.2026
MXRF11,2.6501
KCRE11,0.2816
VILG11,1.0747
RCRB11,0.4695
XPLG11,2.5355
BLMG11,0.117
JSRE11,1.2189
RECR11,1.7733000000000003
BTRA11,0.151
TVRI11,1.2687
BRCO11,1.4545
GTWR11,0.8269000000000001
MALL11,0.8532
XPPR11,0.1353
RECT11,0.2892
XPML11,3.5373999999999994
JSAF11,0.2828
RZAK11,0.6201
TRXF11,1.3505
HGLG11,4.3823
VISC11,2.596
BTLG11,3.256
IRDM11,2.2092
Total,100.0
