IFIX - Carteira do Dia 16/02/2024
Código,Part. (%)
XPSF11,0.2845
JSRE11,1.2374
HSML11,1.4743
XPML11,3.5549999999999997
TGAR11,1.8997
SADI11,0.1099
HSAF11,0.1756
RZAT11,0.2808
RECT11,0.2894
SPXS11,0.1519
TVRI11,1.266
GARE11,0.9034
IRDM11,2.184
RZAK11,0.6222
TORD11,0.0556
TRBL11,0.5047
HSLG11,0.972
JSAF11,0.2824
XPPR11,0.1342
TRXF11,1.3548
SNCI11,0.3286
SARE11,0.3275
SNFF11,0.1912
RZTR11,1.1427
VIUR11,0.1705
KCRE11,0.2821
WHGR11,0.1945
KNSC11,0.9571
PVBI11,1.5379
VILG11,1.0723
PORD11,0.2707
VSLH11,0.0907
LGCP11,0.2501
PLCR11,0.1464
LVBI11,1.3403
TEPP11,0.3147
VINO11,0.4945
OUJP11,0.2408
MALL11,0.8507
VISC11,2.6025
VRTA11,1.0772
MXRF11,2.6417
MCCI11,1.2508
MFII11,0.3635
MCHF11,0.2315
VGIR11,0.7889
RBFF11,0.1807
KNRI11,3.1288000000000005
RBRF11,0.8622
RCRB11,0.47739999999999994
URPR11,0.8223000000000001
RBVA11,1.2744
VCJR11,1.0972
KFOF11,0.3605
XPLG11,2.5629
RBRY11,0.7928
KISU11,0.2939
VCRI11,0.1208
RECR11,1.7689999999999997
RBRX11,0.1399
XPIN11,0.4607
RBRR11,1.0698
RBRP11,0.5551
KNHY11,1.5474
VGHF11,0.6939
RBRL11,0.4565000000000001
KNIP11,6.1267
VGIP11,0.8493999999999999
XPCI11,0.6148
KNCR11,4.6715
PATL11,0.2738
HTMX11,0.1827
BCRI11,0.3692
GTWR11,0.8243999999999999
AFHI11,0.3417
ALZR11,0.9131
HGFF11,0.20210000000000003
HGRE11,1.2313
HFOF11,1.4159
BARI11,0.3088
BROF11,0.5235
CPTS11,2.1333
DEVA11,0.4596
HGBS11,2.3077
GGRC11,0.8082
BTRA11,0.1518
HGCR11,1.2911
CVBI11,0.8250000000000001
AIEC11,0.201
HGPO11,0.41130000000000005
BTAL11,0.3413
BCIA11,0.3165
BRCR11,1.2453
BCFF11,1.443
BTCI11,0.7865000000000001
BTLG11,3.2475000000000005
CACR11,0.3085
HCTR11,0.5856
ARRI11,0.0948
HGLG11,4.3916
BLMG11,0.1178
CYCR11,0.1248
HGRU11,1.9788000000000001
HABT11,0.5802
BRCO11,1.436
Total,100.0
