IFIX - Carteira do Dia 15/08/2024
Código,Part. (%)
XPSF11,0.2298
CPFF11,0.1299
TVRI11,1.161
HGRE11,0.9622999999999999
HGPO11,0.3795
CPTS11,1.8508
FATN11,0.1549
DEVA11,0.3808
CYCR11,0.11429999999999998
CVBI11,0.7392
TRBL11,0.5345
GARE11,0.8186000000000001
TORD11,0.0346
SARE11,0.2654
TEPP11,0.2693
SPXS11,0.1343
SNFF11,0.1805
SNCI11,0.2926
RZTR11,1.2706
RZAT11,0.2598
RZAK11,0.5208
RVBI11,0.5433
RECT11,0.2093
RECR11,1.5786000000000002
RCRB11,0.3507
TGAR11,2.0435
CLIN11,0.2954
TRXF11,1.3422
BTLG11,3.1563
HGCR11,1.139
HGBS11,1.9426000000000003
HCTR11,0.4575
HABT11,0.5122
HGLG11,3.8956
HGFF11,0.172
CACR11,0.3773
GTWR11,0.7074
BRCR11,0.9645000000000001
AFHI11,0.3619
AIEC11,0.1885
AJFI11,0.1876
ALZR11,1.0346
ARRI11,0.139
BARI11,0.2622
BCFF11,1.1748
BCIA11,0.2757
BCRI11,0.3021
BLMG11,0.1196
BPFF11,0.2198
BRCO11,1.4483
BROF11,0.3918
GGRC11,0.7814999999999999
BTAL11,0.3344
BTCI11,0.7036
BTRA11,0.1164
HFOF11,1.1554
URPR11,0.6831
VCJR11,0.9598000000000001
IRDM11,1.8531
HTMX11,0.1929
HSML11,1.3785
HSLG11,0.7737
HSAF11,0.1515
KNSC11,0.8739
LGCP11,0.21579999999999996
LVBI11,1.2981
PLCR11,0.1297
RBRP11,0.4951
RBRL11,0.3784
JSAF11,0.5322
RBRF11,0.7359
PVBI11,1.7378
PORD11,0.23869999999999997
PATL11,0.2153
MALL11,1.0066
OUJP11,0.1868
NCHB11,0.10169999999999998
MXRF11,2.9913
MFII11,0.3199
MCHY11,0.7538
MCCI11,1.0726
KORE11,0.7044
RBFF11,0.1649
JSRE11,0.9511999999999999
HGRU11,2.5652
KFOF11,0.2912
KCRE11,0.24520000000000003
XPPR11,0.0969
XPML11,4.3738
XPLG11,2.1705
XPIN11,0.3947
XPCI11,0.5388
WHGR11,0.1743
VRTA11,0.9907000000000001
VIUR11,0.1255
VISC11,2.3315
VINO11,0.3583
VILG11,0.9523
VSLH11,0.0721
VGIP11,0.7459
VGIR11,1.288
KNCR11,4.9912
KNHF11,1.3556
KNHY11,2.1333
KNRI11,3.315
KNIP11,5.4684
KISU11,0.2564
RBRX11,0.1921
RBRY11,0.9630999999999998
RBVA11,0.9384
VGHF11,1.0347
RBRR11,0.9725000000000001
Total,100.0
