IFIX - Carteira do Dia 21/03/2024
Código,Part. (%)
XPIN11,0.4411
XPLG11,2.5368
AFHI11,0.3334
XPPR11,0.1455
XPSF11,0.2814
XPCI11,0.6073
XPML11,3.4343
BCRI11,0.3558
VSLH11,0.0811
HGRE11,1.1838
BCFF11,1.4256
HGRU11,1.9386
HSAF11,0.1749
HSLG11,0.9627
HSML11,1.4837
HTMX11,0.2096
IRDM11,2.1337
JSAF11,0.2745
HGPO11,0.4169
JSRE11,1.1921
KFOF11,0.3555
KISU11,0.29
KNCR11,4.5643
KNHY11,2.1637
KNIP11,6.0429
BARI11,0.3055
KNRI11,3.1016
KNSC11,0.9424
LGCP11,0.24490000000000003
KCRE11,0.2754
HGLG11,4.4209
HGFF11,0.2036
HGBS11,2.2551
WHGR11,0.192
BLMG11,0.1155
BRCO11,1.6386
BRCR11,1.2092
BROF11,0.5264
BTAL11,0.333
BTCI11,0.7839
BTLG11,3.2896999999999994
BTRA11,0.1575
CACR11,0.3036
CPTS11,2.0954
CVBI11,0.8118000000000001
BCIA11,0.3087
CYCR11,0.12190000000000001
DEVA11,0.4475
GARE11,0.8935000000000001
GGRC11,0.8028000000000001
GTWR11,0.8008999999999998
HABT11,0.5818
HCTR11,0.5425
HFOF11,1.3901
LVBI11,1.48
MALL11,0.8416
HGCR11,1.2683
MFII11,0.359
SNFF11,0.1879
SPXS11,0.1474
TEPP11,0.3118
TGAR11,1.8774
TORD11,0.0494
TRBL11,0.49670000000000003
TRXF11,1.5289
TVRI11,1.3023
VCJR11,1.0798
SNCI11,0.3164
VCRI11,0.1176
AIEC11,0.1888
VGIP11,0.8603
VGIR11,0.7817
VILG11,1.0692
VINO11,0.4919
VISC11,2.6178
VIUR11,0.1519
VRTA11,1.0631
MCCI11,1.2436
VGHF11,0.6818
SARE11,0.3089
URPR11,0.8073
RBFF11,0.1829
MXRF11,2.597
ALZR11,0.8977999999999999
OUJP11,0.2373
PATL11,0.2582
PLCR11,0.1478
PORD11,0.2635
PVBI11,1.5015
ARRI11,0.1257
RBRF11,0.8924
RBRL11,0.4208
RBRR11,1.0727
RBRP11,0.5577
RBRX11,0.1426
RBRY11,1.0994
RBVA11,1.2538
RCRB11,0.4558
RECR11,1.7834000000000003
RECT11,0.2796
RZAK11,0.6056
RZAT11,0.2813
RZTR11,1.0805
SADI11,0.1072
Total,100.0
