IFIX - Carteira do Dia 01/03/2024
Código,Part. (%)
AFHI11,0.3403
HSAF11,0.1736
HGRU11,1.9839
HGRE11,1.2147
AIEC11,0.1895
XPSF11,0.2882
HSLG11,0.9625
XPML11,3.5576999999999996
XPPR11,0.1452
GARE11,0.9015000000000001
XPLG11,2.6062
HSML11,1.4856
HTMX11,0.181
ALZR11,0.906
IRDM11,2.1633
RBVA11,1.2777
JSAF11,0.2757
PVBI11,1.5372
GGRC11,0.8268
BTCI11,0.8032000000000001
SNFF11,0.1894
PORD11,0.27
SPXS11,0.1551
PLCR11,0.1481
GTWR11,0.8091000000000002
SNCI11,0.3279
BTAL11,0.3352
PATL11,0.2737
TGAR11,1.8784000000000003
OUJP11,0.2416
BROF11,0.5689
HABT11,0.5873
TORD11,0.0536
MXRF11,2.5945
TRBL11,0.5033
TEPP11,0.3103
SARE11,0.3224
SADI11,0.1097
BTLG11,3.3131
CPTS11,2.1469
XPIN11,0.4497999999999999
RCRB11,0.46909999999999996
RBRY11,0.7945000000000001
CVBI11,0.8336
RBRX11,0.1409
RECR11,1.7978
CACR11,0.3089
RECT11,0.2914
RBRR11,1.0744
RZAK11,0.6121
RBRP11,0.574
CYCR11,0.12330000000000002
BTRA11,0.1547
RZAT11,0.2834
RBRL11,0.4424
RZTR11,1.0892
RBRF11,0.8840000000000001
DEVA11,0.44600000000000006
BRCR11,1.2608
TRXF11,1.3787
RBFF11,0.1824
HCTR11,0.5079
VINO11,0.4843
KNHY11,1.5509
HGFF11,0.1971
VISC11,2.5971
KNCR11,4.6739
BCFF11,1.4361
KISU11,0.2917
VRTA11,1.0787
KFOF11,0.3603
HGLG11,4.5242
BARI11,0.3108
VSLH11,0.0895
KCRE11,0.2835
WHGR11,0.192
JSRE11,1.234
HGPO11,0.4051
MFII11,0.3646
ARRI11,0.1275
XPCI11,0.607
BCIA11,0.3172
VILG11,1.0873
VIUR11,0.1641
VCRI11,0.1193
TVRI11,1.2943
URPR11,0.8268
MALL11,0.855
HFOF11,1.4123
VCJR11,1.0965
LVBI11,1.3207
BLMG11,0.1198
LGCP11,0.24979999999999997
BRCO11,1.4298
HGBS11,2.2996
KNSC11,0.9557
VGIP11,0.8682000000000001
BCRI11,0.3693
KNRI11,3.1703
VGIR11,0.7937999999999998
HGCR11,1.2862
KNIP11,6.1425
VGHF11,0.6915
MCCI11,1.264
Total,100.0
