IFIX - Carteira do Dia 16/04/2024
Código,Part. (%)
BLMG11,0.11349999999999999
ALZR11,0.8789
ARRI11,0.1222
BARI11,0.2902
BCFF11,1.3901
BCIA11,0.2968
BROF11,0.5317
BCRI11,0.3304
AIEC11,0.1919
BRCO11,1.5934
BTLG11,3.2365999999999997
BTAL11,0.3179
GGRC11,0.8749
BTCI11,0.7757
BTRA11,0.1476
CACR11,0.305
CNES11,0.0431
CPTS11,2.0601
CVBI11,0.7938999999999999
CYCR11,0.1217
DEVA11,0.47759999999999997
GTWR11,0.7705
BRCR11,1.1168
HABT11,0.5752
LVBI11,1.446
KNSC11,0.931
XPSF11,0.2731
GARE11,0.8730999999999999
HFOF11,1.3501
HGBS11,2.1982
HGCR11,1.2242
HGFF11,0.1932
HGLG11,4.2375
HGPO11,0.4057
HGRE11,1.1553
HGRU11,1.8709
HSAF11,0.1697
HCTR11,0.5556
HSLG11,0.9176
HTMX11,0.2023
IRDM11,2.1486
JSAF11,0.5751
JSRE11,1.1522
KCRE11,0.2696
KFOF11,0.358
KISU11,0.2841
KNCR11,4.4636
KNHY11,2.1394
KNIP11,5.9344
KNRI11,3.7239
HSML11,1.4484
LGCP11,0.23340000000000002
VSLH11,0.0796
XPPR11,0.12439999999999998
MFII11,0.3493
MXRF11,2.5274
OUJP11,0.2325
MALL11,0.8058
PLCR11,0.144
PORD11,0.2663
PVBI11,1.4656
RBFF11,0.1784
RBRF11,0.8421
RBRL11,0.4268
RBRR11,1.0594
SARE11,0.342
RBRX11,0.1371
RBRY11,1.0689
RBVA11,1.2212
RCRB11,0.4484
RECR11,1.7859
RECT11,0.2589
RZAK11,0.5888
RZAT11,0.2821
RZTR11,1.0441
SADI11,0.10630000000000002
AFHI11,0.3241
RBRP11,0.5451
SNCI11,0.3104
PATL11,0.2574
SPXS11,0.1433
MCCI11,1.1929
TEPP11,0.3051
TGAR11,1.8370000000000002
TORD11,0.0484
TRBL11,0.4854
TRXF11,1.4953
SNFF11,0.1963
URPR11,0.7702
VCJR11,1.0657
VCRI11,0.1164
VGHF11,0.6548
TVRI11,1.253
VGIR11,0.7693
VILG11,1.111
VINO11,0.5111
VISC11,2.5171
VIUR11,0.1511
VRTA11,1.0612
WHGR11,0.1899
XPCI11,0.5933
XPIN11,0.43690000000000007
XPLG11,2.4172
XPML11,4.5439
VGIP11,0.8223000000000001
Total,100.0
