IFIX - Carteira do Dia 14/11/2024
Código,Part. (%)
BPFF11,0.20339999999999997
BLMG11,0.103
BCRI11,0.2937
BCIA11,0.23769999999999997
GARE11,1.1917
ARRI11,0.1193
ALZR11,0.9183
AJFI11,0.1728
AIEC11,0.1533
BPML11,0.4471
BARI11,0.2484
BRCO11,1.2441
BTLG11,3.1253
BROF11,0.409
BTAL11,0.315
BTCI11,0.6662
DEVA11,0.319
BTRA11,0.1048
CACR11,0.3315
CLIN11,0.2998
CPSH11,0.4621
CPTS11,1.6677000000000002
CVBI11,0.6974
CYCR11,0.104
XPSF11,0.2113
BRCR11,0.8486
GGRC11,0.8009999999999999
HSML11,1.3383
KNHY11,2.1519
FATN11,0.22290000000000001
ZAVI11,0.0915
GTWR11,0.6492
HABT11,0.4576
HCTR11,0.4231
HFOF11,1.0565
HGBS11,1.8606999999999998
HGCR11,1.1106
HGFF11,0.1607
HGLG11,3.8751
HGPO11,0.1574
HGRE11,0.9094
GZIT11,0.7679
HGRU11,2.4443
HSLG11,0.7471
HTMX11,0.3745
INLG11,0.1978
IRDM11,1.7804
JSAF11,0.47730000000000006
JSRE11,0.9340000000000002
KCRE11,0.23769999999999997
KFOF11,0.3945000000000001
KISU11,0.2395
KIVO11,0.12260000000000001
KNCR11,6.881900000000001
KNHF11,1.2806
HSAF11,0.1502
KNIP11,5.4426
RBFF11,0.1431
KNSC11,1.19
PVBI11,1.5658999999999998
KORE11,0.5571
LVBI11,1.2021
MALL11,0.9412999999999999
MANA11,0.2333
MCCI11,1.0635
MCRE11,0.6985
MFII11,0.3751
MXRF11,2.9766
OUJP11,0.1876
PATL11,0.1818
PORD11,0.22
RZAK11,0.5236
RBRF11,0.6748
RBRL11,0.3685
RBRP11,0.4824
RBRR11,0.9154000000000001
RBRX11,0.1816
RBRY11,0.8857999999999999
RBVA11,0.8947
RCRB11,0.35
RECR11,1.5076
RECT11,0.1832
RVBI11,0.5001
KNRI11,2.8459
RZAT11,0.2419
RZTR11,1.2407
AFHI11,0.3244
XPML11,4.2824
SARE11,0.2589
SNCI11,0.2813
SNEL11,0.4353
SNFF11,0.2785
SPXS11,0.1348
TEPP11,0.2672
TGAR11,1.7205
TRBL11,0.3952
TRXF11,1.5019
TVRI11,1.0657
URPR11,0.5146
VCJR11,0.9381999999999999
VGHF11,0.9668
KNUQ11,1.1756
VGIP11,0.6864
VGIR11,1.1163
VILG11,0.878
VINO11,0.3067
VISC11,2.1597
VIUR11,0.11349999999999999
VRTA11,0.9338
VSLH11,0.0734
WHGR11,0.2081
XPCI11,0.5179
XPIN11,0.3784
XPLG11,2.1215
Total,100.0
