IFIX - Carteira do Dia 21/08/2024
Código,Part. (%)
BCFF11,1.1948
GGRC11,0.7806
BCRI11,0.3038
BCIA11,0.2726
BARI11,0.2626
GARE11,0.8151999999999999
ALZR11,1.021
AJFI11,0.1952
AIEC11,0.1923
BRCR11,0.9531
BLMG11,0.11969999999999999
ARRI11,0.1379
BPFF11,0.22200000000000003
BTLG11,3.1461
BROF11,0.389
FATN11,0.1536
BTAL11,0.3331
BTCI11,0.7018
BTRA11,0.1152
CACR11,0.3822
CLIN11,0.2932
CPFF11,0.1305
CPTS11,1.8801999999999999
CVBI11,0.7312
CYCR11,0.11399999999999999
BRCO11,1.4358
GTWR11,0.6986
XPSF11,0.2297
KNIP11,5.4509
DEVA11,0.3745
XPPR11,0.0951
HABT11,0.5131
HCTR11,0.4559000000000001
HFOF11,1.1456
HGBS11,1.9245999999999999
HGCR11,1.1294
HGFF11,0.1742
HGLG11,3.8747
HGPO11,0.3736
HGRE11,0.966
HGRU11,2.5424
HSAF11,0.1506
HSLG11,0.7692
HSML11,1.3832
HTMX11,0.1979
IRDM11,1.8645000000000003
JSAF11,0.5322
JSRE11,0.955
KCRE11,0.24949999999999997
KFOF11,0.2875
KISU11,0.2552
KNCR11,4.9755
KNHF11,1.3578
KNHY11,2.1286
KNRI11,3.3190999999999997
KNSC11,1.2304
KORE11,0.6981
LGCP11,0.2133
MALL11,1.0009
MCCI11,1.0897
MCHY11,0.7498
MFII11,0.3205
MXRF11,2.9718
NCHB11,0.1006
OUJP11,0.186
PATL11,0.21379999999999996
PLCR11,0.1282
PORD11,0.23510000000000003
PVBI11,1.7067000000000003
RBFF11,0.1628
RBRF11,0.7413
RBRL11,0.3781
RBRP11,0.5017
RBRR11,0.9709000000000001
RBRX11,0.1898
RBRY11,0.9658999999999999
RBVA11,0.9384999999999999
RCRB11,0.3514
RECR11,1.5978000000000003
RECT11,0.20990000000000003
RVBI11,0.5419
RZAK11,0.5143
RZAT11,0.2594
LVBI11,1.2936
AFHI11,0.3598
SNCI11,0.287
VGIP11,0.7317
SNFF11,0.1787
SPXS11,0.1335
TEPP11,0.2669
TGAR11,2.0428
TORD11,0.0326
TRBL11,0.5288
RZTR11,1.2558
TVRI11,1.1549
URPR11,0.6869
VCJR11,0.96
VGHF11,1.0294
TRXF11,1.3323
SARE11,0.2644
VGIR11,1.2771
XPLG11,2.1706
XPIN11,0.3946
XPCI11,0.5416
WHGR11,0.1741
XPML11,4.274
VRTA11,0.9955
VIUR11,0.125
VISC11,2.3092
VINO11,0.3565
VILG11,0.9509
VSLH11,0.0723
Total,100.0
