IFIX - Carteira do Dia 13/08/2024
Código,Part. (%)
BCFF11,1.1784
BLMG11,0.1193
BCRI11,0.3027
BCIA11,0.2738
BARI11,0.2644
BRCR11,0.9649999999999999
ALZR11,1.0338
AJFI11,0.1884
AIEC11,0.1872
BPFF11,0.2198
ARRI11,0.1395
BRCO11,1.4472
DEVA11,0.3846
FATN11,0.1551
BTAL11,0.3316
BTCI11,0.6993
BTLG11,3.1216
BTRA11,0.1168
CACR11,0.3775
CLIN11,0.2937
CPFF11,0.1313
CPTS11,1.8517
CVBI11,0.7404
CYCR11,0.1146
GARE11,0.8175
BROF11,0.3922
GGRC11,0.7845999999999999
XPPR11,0.0978
KNRI11,3.3257000000000003
XPSF11,0.22899999999999998
HABT11,0.5074
HCTR11,0.4578
HFOF11,1.1507
HGBS11,1.9464
HGCR11,1.141
HGFF11,0.1715
HGLG11,3.9021
HGPO11,0.3804
HGRE11,0.9594999999999999
HGRU11,2.5634
HSAF11,0.1508
HSLG11,0.7812
HSML11,1.3838
HTMX11,0.1944
IRDM11,1.8483
JSAF11,0.5216
JSRE11,0.9722
KCRE11,0.2457
KFOF11,0.2883
KISU11,0.2563
KNCR11,4.9922
KNHF11,1.3538
KNHY11,2.1243
KNIP11,5.4617
GTWR11,0.7029
KNSC11,0.8708
KORE11,0.703
VGIP11,0.7532
MCCI11,1.0815
MCHY11,0.7473
MFII11,0.3195
MXRF11,2.9975
NCHB11,0.1023
OUJP11,0.1878
PATL11,0.21589999999999998
PLCR11,0.131
PORD11,0.24109999999999998
PVBI11,1.7357999999999998
RBRF11,0.7342
MALL11,0.9973
RZAT11,0.2614
RBRP11,0.49269999999999997
RBRR11,0.9661
RBRX11,0.1935
RBRY11,0.9668
RBVA11,0.9411
RCRB11,0.3528
RECR11,1.5897
RECT11,0.2101
RVBI11,0.547
RZAK11,0.5264
AFHI11,0.3651
RBRL11,0.3797
RBFF11,0.1661
LGCP11,0.2167
RZTR11,1.2683
SNFF11,0.1798
SPXS11,0.1342
TEPP11,0.2678
TGAR11,2.042
TORD11,0.0358
TRBL11,0.5355
TVRI11,1.1615
URPR11,0.6761
VCJR11,0.9582
VGHF11,1.0249
VGIR11,1.2828
SARE11,0.2668
TRXF11,1.3419
VINO11,0.3594
VILG11,0.9531
SNCI11,0.2923
XPML11,4.3764
XPLG11,2.1766
XPIN11,0.39760000000000006
XPCI11,0.54
LVBI11,1.2992
VSLH11,0.0719
VRTA11,0.9791
VIUR11,0.128
VISC11,2.3393
WHGR11,0.1758
Total,100.0
