IFIX - Carteira do Dia 11/10/2024
Código,Part. (%)
KISU11,0.24109999999999998
MCCI11,1.0502
KFOF11,0.4035
KNCR11,5.309
DEVA11,0.3583
RBRL11,0.3707
RBRP11,0.4536
CYCR11,0.11100000000000002
SNFF11,0.2944
MANA11,0.2437
CVBI11,0.6969
KIVO11,0.11770000000000001
KNIP11,5.375
HSAF11,0.1486
KNHF11,1.3256
KORE11,0.6368
KNHY11,2.1445
KNUQ11,1.1585
KNSC11,1.2488
MCHY11,0.7048
KCRE11,0.2385
MFII11,0.3747
JSRE11,0.9148
MXRF11,3.1412000000000004
SNEL11,0.1275
MALL11,0.9442
FATN11,0.22599999999999998
RBRR11,0.9375
GARE11,0.8282000000000002
AFHI11,0.3194
RBVA11,0.9292
RECT11,0.1948
HFOF11,1.0673
RECR11,1.4663
HGBS11,1.8680000000000003
RCRB11,0.3469
HGCR11,1.131
HGFF11,0.1577
HGRU11,2.4692
RBRY11,0.8763
HGLG11,3.8701
SNCI11,0.2781
RBRX11,0.1807
JSAF11,0.52
HGRE11,0.9196
HCTR11,0.4652
RVBI11,0.5174
HABT11,0.48529999999999995
RZAK11,0.5119
GZIT11,0.7532
RZAT11,0.2647
GTWR11,0.6634
KNRI11,2.8405
GGRC11,0.8012
SARE11,0.2668
HGPO11,0.3868
OUJP11,0.1867
LVBI11,1.2261
PATL11,0.2103
BCIA11,0.2474
BPFF11,0.21150000000000002
VSLH11,0.0733
VIUR11,0.12140000000000001
BLMG11,0.1164
BCRI11,0.2875
BTCI11,0.6819
VRTA11,0.9417
AJFI11,0.1714
TRBL11,0.512
CLIN11,0.2897
XPLG11,2.1157
VISC11,2.1463
AIEC11,0.1759
TRXF11,1.5186
CACR11,0.3585
TGAR11,1.7387
XPML11,4.2757
TVRI11,1.1329
BTRA11,0.0971
CPTS11,1.7567
ALZR11,0.9288
URPR11,0.5879
BTLG11,3.1004
ZAVI11,0.0922
IRDM11,1.7046
CPSH11,0.4648999999999999
BPML11,0.4377
XPSF11,0.2171
WHGR11,0.2127
TEPP11,0.2631
PORD11,0.2228
HTMX11,0.2168
PVBI11,1.6359
HSML11,1.3296
RBFF11,0.153
HSLG11,0.7378
RBRF11,0.6779
SPXS11,0.1349
RZTR11,1.2099
VINO11,0.3045
VCJR11,0.9574000000000001
INLG11,0.206
VGIR11,1.12
VGHF11,0.9396999999999999
BTAL11,0.3202
XPIN11,0.3809
VGIP11,0.7297
BROF11,0.3929
BARI11,0.2494
XPCI11,0.5256
ARRI11,0.11919999999999999
BRCR11,0.8813
VILG11,0.9069
BCFF11,1.1169
BRCO11,1.2517
Total,100.0
