IFIX - Carteira do Dia 27/11/2024
Código,Part. (%)
BLMG11,0.1042
BCRI11,0.2933
BCIA11,0.23669999999999997
BARI11,0.2502
CYCR11,0.10709999999999999
ALZR11,0.9119999999999999
AJFI11,0.1717
AIEC11,0.1639
GARE11,1.1741
BPFF11,0.20070000000000002
ARRI11,0.1193
DEVA11,0.3389
BTLG11,3.0959
BRCO11,1.2424
BRCR11,0.8809000000000001
BROF11,0.4041
BTAL11,0.3135
BTCI11,0.6895
BTRA11,0.0998
CACR11,0.3524
CLIN11,0.2898
CPSH11,0.4359
CPTS11,1.6573999999999998
CVBI11,0.7051
BPML11,0.4274
GGRC11,0.7910999999999999
HSML11,1.3319
KNHY11,2.1502
ZAVI11,0.0918
FATN11,0.2164
GTWR11,0.6545
HABT11,0.4553
HCTR11,0.45310000000000006
HFOF11,1.0103
HGBS11,1.9028
HGCR11,1.1067
HGFF11,0.1578
HGLG11,3.8723
HGPO11,0.1586
HGRE11,0.9221
GZIT11,0.7309
HGRU11,2.4303
HSLG11,0.7748
HTMX11,0.3695
INLG11,0.1936
IRDM11,1.8426999999999998
JSAF11,0.4763
JSRE11,0.9288999999999998
KCRE11,0.2414
KFOF11,0.406
KISU11,0.23599999999999996
KIVO11,0.12360000000000002
KNCR11,6.837999999999999
KNHF11,1.2674
HSAF11,0.15
KNIP11,5.3699
XPSF11,0.2184
KNSC11,1.1902
KORE11,0.6164
LVBI11,1.2018
MALL11,0.9590999999999998
MANA11,0.23470000000000002
MCCI11,1.0504
MCRE11,0.6722
MFII11,0.3623
MXRF11,3.0624
OUJP11,0.1885
PATL11,0.1755
PORD11,0.2282
RBFF11,0.1438
RZAK11,0.5196
RBRF11,0.6972
RBRL11,0.3639
RBRP11,0.4769
RBRR11,0.9150999999999999
RBRX11,0.1799
RBRY11,0.8717
RBVA11,0.8801
RCRB11,0.3437
RECR11,1.516
RECT11,0.1889
RVBI11,0.513
AFHI11,0.3166
PVBI11,1.5889
RZAT11,0.2353
KNRI11,2.8307
SARE11,0.2541
RZTR11,1.2579
KNUQ11,1.1659
SNCI11,0.2717
SNEL11,0.4342
SNFF11,0.2713
SPXS11,0.1306
TEPP11,0.2671
TGAR11,1.7343000000000002
TRXF11,1.5411
TVRI11,1.0724
URPR11,0.5404
VCJR11,0.9072
VGHF11,0.9677
TRBL11,0.4319
VGIR11,1.0977
VGIP11,0.6944
XPLG11,2.0994
XPIN11,0.3785
XPCI11,0.5087
VSLH11,0.0727
WHGR11,0.2059
VIUR11,0.11849999999999998
XPML11,4.2185
VISC11,2.1682
VINO11,0.3176
VILG11,0.8753000000000001
VRTA11,0.9347
Total,100.0
