IFIX - Carteira do Dia 01/08/2024
Código,Part. (%)
BCRI11,0.2956
BCIA11,0.2722
BCFF11,1.1905
BARI11,0.266
GARE11,0.8087000000000001
ALZR11,1.0288
AJFI11,0.1932
AIEC11,0.187
BRCR11,0.9514
BLMG11,0.11620000000000001
ARRI11,0.1391
BPFF11,0.22270000000000004
BTRA11,0.12360000000000002
BROF11,0.4132
FATN11,0.1547
BTAL11,0.3296
BTCI11,0.7046
BTLG11,3.1096
CACR11,0.3751
CLIN11,0.2979
CPFF11,0.1319
CPTS11,1.871
CVBI11,0.737
CYCR11,0.1127
XPSF11,0.2342
GGRC11,0.7953999999999999
DEVA11,0.3866
KNRI11,3.2824
XPPR11,0.10140000000000002
HABT11,0.513
HCTR11,0.4733
HFOF11,1.1618
HGBS11,1.9389
HGCR11,1.1381
HGFF11,0.1718
HGLG11,3.8453
HGPO11,0.3836
HGRE11,0.9812999999999998
HGRU11,2.5456
HSAF11,0.1511
HSLG11,0.78
HSML11,1.4015
HTMX11,0.1906
IRDM11,1.8728000000000002
JSAF11,0.5014
JSRE11,0.9674999999999999
KCRE11,0.24480000000000002
KFOF11,0.2874
KISU11,0.2589
KNCR11,5.0191
KNHF11,1.3476
KNHY11,2.1137
KNIP11,5.4069
GTWR11,0.7016
KNSC11,0.8734999999999999
BRCO11,1.4331
LGCP11,0.2147
MALL11,1.0257
MCCI11,1.1287
MCHY11,0.7534
MFII11,0.3195
MXRF11,3.0045
NCHB11,0.1023
OUJP11,0.1854
PATL11,0.21549999999999997
PLCR11,0.1281
PORD11,0.24109999999999998
PVBI11,1.7325999999999997
RBRF11,0.7282
RZAT11,0.2583
RBRL11,0.39250000000000007
RBRP11,0.4911
RBRR11,0.9707
RBRX11,0.1912
RBRY11,0.9707
RBVA11,0.9398
RCRB11,0.362
RECR11,1.6114
RECT11,0.2133
RVBI11,0.5505
RZAK11,0.5209
AFHI11,0.3632
RBFF11,0.1607
LVBI11,1.3173
KORE11,0.7077
SNCI11,0.2879
VGIP11,0.7575
SNFF11,0.1779
SPXS11,0.1337
TEPP11,0.2711
TGAR11,2.0622
TORD11,0.0358
TRBL11,0.5446
TRXF11,1.3418
TVRI11,1.1599
URPR11,0.6868
VCJR11,0.9597
VGHF11,1.0332
RZTR11,1.2535
SARE11,0.2697
XPML11,4.3085
XPLG11,2.1819
XPIN11,0.3948999999999999
VGIR11,1.2978
WHGR11,0.1734
XPCI11,0.5326
VRTA11,0.9913
VIUR11,0.1265
VISC11,2.3078
VINO11,0.3614
VILG11,0.9384
VSLH11,0.0725
Total,100.0
