IFIX - Carteira do Dia 18/06/2024
Código,Part. (%)
BCRI11,0.3003
BCIA11,0.2846
BCFF11,1.2076
BARI11,0.2593
AJFI11,0.193
ALZR11,1.0578
AIEC11,0.1842
BRCR11,0.9982
GARE11,0.8209
ARRI11,0.1407
BLMG11,0.11939999999999999
CVBI11,0.7405
BRCO11,1.3775
BROF11,0.46769999999999995
FATN11,0.1604
BTAL11,0.3162
BTCI11,0.7154
BTLG11,3.0721
BTRA11,0.1353
CACR11,0.377
CLIN11,0.3016
CPFF11,0.1366
CPTS11,1.9071
GGRC11,0.7913999999999999
BPFF11,0.2271
GTWR11,0.7238
HSLG11,0.8146
KNIP11,5.5577
CYCR11,0.1139
XPSF11,0.2382
XPPR11,0.0957
HABT11,0.5136
HCTR11,0.46110000000000007
HFOF11,1.1748
HGBS11,1.9527000000000003
HGCR11,1.1622
HGFF11,0.1728
HGLG11,3.888
HGPO11,0.3913
HGRE11,0.9721000000000001
HGRU11,1.6934
HSAF11,0.1556
HSML11,1.3952
HTMX11,0.198
IRDM11,1.9118
JSAF11,0.5215
JSRE11,0.9823000000000001
KCRE11,0.251
KFOF11,0.2875
KISU11,0.2662
KNCR11,5.0485
KNHF11,1.3596
KNHY11,2.1445
KNRI11,3.3371
DEVA11,0.4254
KNSC11,0.8745
AFHI11,0.3664
RBFF11,0.1691
MALL11,1.0351
MCCI11,1.0778
MCHY11,0.7578
MFII11,0.3286
MXRF11,3.0657
NCHB11,0.1018
OUJP11,0.20180000000000003
PATL11,0.2184
PLCR11,0.1292
PORD11,0.24560000000000004
RBRF11,0.7118
RZAT11,0.2533
RBRL11,0.374
RBRP11,0.49870000000000003
RBRR11,0.9882
RBRX11,0.1935
RBRY11,0.9932
RBVA11,0.9816999999999999
RCRB11,0.3906
RECR11,1.6548
RECT11,0.2147
RVBI11,0.5457
RZAK11,0.5259
KORE11,0.7223
LVBI11,1.2914
RZTR11,1.2619
PVBI11,1.6966
XPML11,4.3112
SNCI11,0.2834
VGIP11,0.756
SNFF11,0.1779
SPXS11,0.1441
TEPP11,0.2814
TGAR11,2.1517
TORD11,0.0373
TRBL11,0.5541
TRXF11,1.3538
TVRI11,1.1737
URPR11,0.7092
VCJR11,0.9753
VGHF11,1.0517
LGCP11,0.21609999999999996
WHGR11,0.1742
SARE11,0.3028
VILG11,0.8928
VINO11,0.4292000000000001
VISC11,2.3971
VIUR11,0.1193
VRTA11,0.9818
VSLH11,0.0701
VGIR11,0.9589000000000001
XPCI11,0.5382
XPIN11,0.3863
XPLG11,2.2005
Total,100.0
