IFIX - Carteira do Dia 20/12/2024
Código,Part. (%)
RECT11,0.1727
ZAVI11,0.0761
XPCI11,0.4935
WHGR11,0.2032
VSLH11,0.073
VRTA11,0.914
VIUR11,0.1121
VISC11,2.1315
VINO11,0.3089
VILG11,0.8437
VGIR11,1.0817
VGIP11,0.6658
VGHF11,0.9025
XPIN11,0.3675
VCJR11,0.8175999999999999
TVRI11,1.0636
TRXF11,1.59
TRBL11,0.3721
TGAR11,1.5707
TEPP11,0.2536
SPXS11,0.11919999999999999
SNFF11,0.2777
SNEL11,0.466
SNCI11,0.2618
KNUQ11,1.2058
KNSC11,1.2441
URPR11,0.4892000000000001
XPLG11,2.1549
XPML11,4.2329
SARE11,0.2694
RECR11,1.4306
RCRB11,0.3408
RBVA11,0.8363
RBRY11,0.8246999999999999
RBRX11,0.1685
RBRR11,0.9412999999999999
RBRP11,0.48589999999999994
RBRL11,0.3503
RBRF11,0.6747
RZAK11,0.5097
RBFF11,0.1444
PORD11,0.21320000000000003
PATL11,0.1798
OUJP11,0.1793
MXRF11,3.2081
MFII11,0.3489
MCRE11,0.6207
MCCI11,1.022
MANA11,0.2228
MALL11,0.9638000000000001
LVBI11,1.1846
KORE11,0.6032
PVBI11,1.5375
RZAT11,0.2382
RZTR11,1.2424
KNRI11,3.0394
RVBI11,0.4842
AFHI11,0.3099
DEVA11,0.2915
KNCR11,7.1311
KIVO11,0.10119999999999998
KISU11,0.2422
KFOF11,0.39820000000000005
KCRE11,0.2369
JSRE11,0.9514
JSAF11,0.4376
IRDM11,1.7586000000000002
INLG11,0.1931
HTMX11,0.41960000000000003
HSML11,1.2084
KNHF11,1.2438
HSLG11,0.7293
HGRU11,2.5234
HGRE11,0.9306
HGPO11,0.1785
HGLG11,4.1464
HGFF11,0.1544
HGCR11,1.137
HGBS11,1.873
HFOF11,1.0309
HCTR11,0.3072
HABT11,0.44460000000000005
GTWR11,0.6965
HSAF11,0.1301
KNHY11,2.1995
GZIT11,0.71
GGRC11,0.8226000000000001
CYCR11,0.10630000000000002
CVBI11,0.6722
CPTS11,1.6570999999999998
CPSH11,0.4474000000000001
CLIN11,0.2616
CACR11,0.3013
BTRA11,0.11349999999999999
BTLG11,3.1343
BTCI11,0.6451
BTAL11,0.317
BROF11,0.3987
BRCR11,0.8595999999999999
BRCO11,1.2653
BPML11,0.41270000000000007
BPFF11,0.1962
BLMG11,0.0902
BCRI11,0.291
BCIA11,0.2349
BARI11,0.2218
ARRI11,0.11449999999999999
ALZR11,0.9618
AJFI11,0.1835
AIEC11,0.168
GARE11,1.1516
XPSF11,0.2039
FATN11,0.2191
KNIP11,5.7038
Total,100.0
