IFIX - Carteira do Dia 30/07/2024
Código,Part. (%)
BCFF11,1.1946
CYCR11,0.1137
BCRI11,0.2971
BCIA11,0.2727
BARI11,0.27
GARE11,0.8135
ALZR11,1.0254
AJFI11,0.1943
AIEC11,0.1891
BRCR11,0.9355
ARRI11,0.139
BLMG11,0.1155
BTLG11,3.0817
BRCO11,1.4468
FATN11,0.1543
BTAL11,0.3338
BTCI11,0.7028
BTRA11,0.1247
CACR11,0.3788
CLIN11,0.2974
CPFF11,0.1313
CPTS11,1.855
CVBI11,0.7371
GGRC11,0.7897999999999998
BPFF11,0.22330000000000003
GTWR11,0.7012
HSLG11,0.7845
KNIP11,5.3704
DEVA11,0.3907
XPSF11,0.2373
XPPR11,0.10319999999999999
HABT11,0.517
HCTR11,0.465
HFOF11,1.1561
HGBS11,1.9422
HGCR11,1.1427
HGFF11,0.173
HGLG11,3.8853999999999997
HGPO11,0.3832
HGRE11,0.9878
HGRU11,2.5592
HSAF11,0.1516
HSML11,1.4201
HTMX11,0.1926
IRDM11,1.8582
JSAF11,0.4923
JSRE11,1.0137
KCRE11,0.2463
KFOF11,0.2907
KISU11,0.2605
KNCR11,4.9902
KNHF11,1.3564
KNHY11,2.1228
KNRI11,3.2547
KNSC11,0.876
BROF11,0.40959999999999996
LGCP11,0.2188
RBFF11,0.1615
MALL11,1.0377
MCCI11,1.13
MCHY11,0.742
MFII11,0.3201
MXRF11,2.979
NCHB11,0.1021
OUJP11,0.1862
PATL11,0.21689999999999998
PLCR11,0.1282
PORD11,0.2423
PVBI11,1.7428
RBRF11,0.7302
RZAT11,0.2576
RBRL11,0.3795
RBRP11,0.485
RBRR11,0.9689
RBRX11,0.1903
RBRY11,0.9608
RBVA11,0.9509
RCRB11,0.3702
RECR11,1.5726
RECT11,0.21279999999999996
RVBI11,0.5409
RZAK11,0.52
LVBI11,1.3285
RZTR11,1.2547
AFHI11,0.3623
XPML11,4.2683
SNCI11,0.2848
VGIP11,0.7533
SNFF11,0.1748
SPXS11,0.1341
TEPP11,0.2732
TGAR11,2.0654
TORD11,0.0362
TRBL11,0.5445
TRXF11,1.3487
TVRI11,1.1715
URPR11,0.6955
VCJR11,0.9601000000000001
VGHF11,1.0435
KORE11,0.7091
VGIR11,1.2932
SARE11,0.2686
VILG11,0.9608
VINO11,0.3659
VISC11,2.3206
VIUR11,0.1273
VRTA11,0.9927999999999999
VSLH11,0.0728
WHGR11,0.1745
XPCI11,0.539
XPIN11,0.40249999999999997
XPLG11,2.1736
Total,100.0
