IFIX - Carteira do Dia 27/03/2024
Código,Part. (%)
HGCR11,1.2422
BRCR11,1.1509
XPSF11,0.2747
MFII11,0.3496
HGFF11,0.1964
BRCO11,1.6057
KNRI11,3.7377000000000002
RBRL11,0.41130000000000005
OUJP11,0.2342
MXRF11,2.5385
MCCI11,1.209
PVBI11,1.458
PATL11,0.2593
MALL11,0.8177
CVBI11,0.7946
XPPR11,0.1259
PLCR11,0.1451
VGHF11,0.6704
BTAL11,0.3176
PORD11,0.2589
LVBI11,1.4416
CYCR11,0.1195
GGRC11,0.7898999999999999
AFHI11,0.3252
VCJR11,1.0615
RBVA11,1.2321
RECR11,1.7431999999999999
LGCP11,0.23809999999999998
XPIN11,0.42899999999999994
GARE11,0.872
KNHY11,2.1359
RBRX11,0.138
VGIR11,0.7675
RBRR11,1.0665
KNIP11,5.8947
KNCR11,4.4402
VCRI11,0.1149
BROF11,0.5104
RBRP11,0.5493
BLMG11,0.1129
RBRY11,1.072
XPCI11,0.5968
KISU11,0.2794
BCRI11,0.3521
HGBS11,2.2076
RCRB11,0.451
AIEC11,0.1886
CACR11,0.3014
HFOF11,1.3493
WHGR11,0.1888
KFOF11,0.3466
HGLG11,4.3024
XPML11,4.542
RBFF11,0.18
HCTR11,0.5607
TEPP11,0.3085
BTRA11,0.1502
HSLG11,0.9404000000000001
RZTR11,1.036
JSRE11,1.1765
BCIA11,0.2988
TVRI11,1.2907
HGRU11,1.9035
JSAF11,0.5908
VISC11,2.5495
VSLH11,0.0799
BARI11,0.3001
VILG11,1.058
VINO11,0.4803
SADI11,0.1045
TRXF11,1.4954
RZAK11,0.594
VRTA11,1.0462
HGRE11,1.1486
RZAT11,0.2787
ARRI11,0.12240000000000001
GTWR11,0.7703
BTLG11,3.2331
TRBL11,0.4847000000000001
SPXS11,0.1446
CPTS11,2.0476
TGAR11,1.8488
KNSC11,0.9257
RBRF11,0.8627000000000001
DEVA11,0.44229999999999997
XPLG11,2.4579
RECT11,0.2734
VGIP11,0.8353000000000002
SNFF11,0.1874
TORD11,0.047
URPR11,0.7947
HABT11,0.5817
SARE11,0.3085
BCFF11,1.3898
SNCI11,0.312
HTMX11,0.2003
HSAF11,0.1706
VIUR11,0.1542
BTCI11,0.7679
KCRE11,0.2707
IRDM11,2.1045
HSML11,1.4519
ALZR11,0.8744
HGPO11,0.4066
Total,100.0
