IFIX - Carteira do Dia 18/10/2024
Código,Part. (%)
INLG11,0.2032
ZAVI11,0.0897
JSAF11,0.5109
KFOF11,0.397
AFHI11,0.3107
HTMX11,0.2026
HSAF11,0.1461
XPSF11,0.21120000000000003
HSML11,1.325
KIVO11,0.1141
JSRE11,0.9394
KNCR11,6.6873000000000005
ALZR11,0.9159
KNRI11,2.8502
KNUQ11,1.1369
XPCI11,0.5106
HGLG11,3.8099000000000003
PVBI11,1.6261
HGPO11,0.3795
XPIN11,0.3758
XPLG11,2.0848
KNIP11,5.2875
HGRE11,0.89
KNHY11,2.0964
AIEC11,0.1683
KORE11,0.6411
KISU11,0.24
AJFI11,0.1683
XPML11,4.2249
MANA11,0.23580000000000004
MALL11,0.9374
ARRI11,0.1161
HGBS11,1.8546
GTWR11,0.6483
HGCR11,1.1106
VISC11,2.1388
LVBI11,1.2229
PATL11,0.2055
MXRF11,3.0587
VSLH11,0.0729
OUJP11,0.185
HSLG11,0.7514
MCCI11,1.0264
BCFF11,1.0798
MCHY11,0.6616
BARI11,0.24560000000000004
WHGR11,0.20280000000000004
VRTA11,0.9403
MFII11,0.369
HCTR11,0.4564
HABT11,0.4783
VIUR11,0.1198
TRBL11,0.4841
HGFF11,0.1579
KCRE11,0.23340000000000002
HFOF11,1.0457
GZIT11,0.7424
KNHF11,1.2733
KNSC11,1.2181
BPML11,0.4357
BTCI11,0.6846
BLMG11,0.1096
RBRY11,0.8628
RBRP11,0.4474000000000001
BRCR11,0.8622999999999998
RBFF11,0.1439
BROF11,0.3835
GGRC11,0.7804
TGAR11,1.7499
VINO11,0.3037
RBRF11,0.6592
GARE11,0.8159
RBRL11,0.3641
TRXF11,1.4789
TEPP11,0.2679
VGIR11,1.049
BCRI11,0.2898
BTAL11,0.3104
FATN11,0.22200000000000003
VILG11,0.8968
RBRR11,0.9363
DEVA11,0.3523
RBRX11,0.1736
SPXS11,0.1326
RZTR11,1.1729
CACR11,0.3485
HGRU11,2.451
BTRA11,0.0934
SARE11,0.2627
PORD11,0.2178
IRDM11,1.7714
BCIA11,0.2423
SNFF11,0.2793
RBVA11,0.9088
TVRI11,1.1077
CVBI11,0.6868
VGIP11,0.7101
BRCO11,1.2427
RECR11,1.5098
SNEL11,0.1251
BTLG11,3.0136
RCRB11,0.3425
BPFF11,0.20639999999999997
CPTS11,1.7718999999999998
VCJR11,0.9355
CLIN11,0.2895
URPR11,0.59
SNCI11,0.2728
RZAK11,0.5018
VGHF11,0.9159999999999999
RZAT11,0.24879999999999997
CYCR11,0.10610000000000001
CPSH11,0.4509
RECT11,0.187
RVBI11,0.5076
Total,100.0
