IFIX - Carteira do Dia 24/06/2024
Código,Part. (%)
BCFF11,1.1887
BCRI11,0.3037
BCIA11,0.2759
BARI11,0.2613
GARE11,0.8203
ALZR11,1.052
AJFI11,0.1877
AIEC11,0.1882
BRCR11,0.9783
BLMG11,0.11840000000000002
ARRI11,0.1411
BPFF11,0.2251
CYCR11,0.1149
BROF11,0.4482
FATN11,0.1603
BTAL11,0.3133
BTCI11,0.7194
BTLG11,3.0155
BTRA11,0.1367
CACR11,0.377
CLIN11,0.3001
CPFF11,0.1353
CPTS11,1.905
CVBI11,0.722
GGRC11,0.7956
BRCO11,1.3998
GTWR11,0.7214
HSML11,1.39
KNIP11,5.6055
DEVA11,0.4092
XPSF11,0.2407
XPPR11,0.0946
HABT11,0.5164
HCTR11,0.455
HFOF11,1.1887
HGBS11,1.9584000000000001
HGCR11,1.1616
HGFF11,0.1711
HGLG11,3.8184000000000005
HGPO11,0.391
HGRE11,0.9951
HGRU11,1.6982999999999997
HSAF11,0.1544
HSLG11,0.791
HTMX11,0.20010000000000003
IRDM11,1.9101
JSAF11,0.5044
JSRE11,0.9917
KCRE11,0.2527
KFOF11,0.3043
KISU11,0.2668
KNCR11,5.0778
KNHF11,1.3469
KNHY11,2.1467
KNRI11,3.3216
KORE11,0.728
VGIR11,0.9721000000000001
LGCP11,0.2164
MALL11,1.0309
MCCI11,1.1022
MCHY11,0.7678
MFII11,0.3292
MXRF11,3.0675
NCHB11,0.10189999999999999
OUJP11,0.19910000000000003
PATL11,0.2181
PLCR11,0.13
PORD11,0.2422
KNSC11,0.8786999999999999
RBRF11,0.7256
RZAT11,0.2562
RBRL11,0.3716
RBRP11,0.5005
RBRR11,0.9871
RBRX11,0.1925
RBRY11,0.9975000000000002
RBVA11,0.9787
RCRB11,0.3872
RECR11,1.6559000000000001
RECT11,0.21349999999999997
RVBI11,0.5419
RZAK11,0.5343
AFHI11,0.368
RBFF11,0.1682
LVBI11,1.2976
PVBI11,1.6736
SNCI11,0.2891
RZTR11,1.2601
VGIP11,0.7503
SNFF11,0.1768
SPXS11,0.1423
TEPP11,0.2828
TGAR11,2.1695
TORD11,0.0372
TRBL11,0.5476
TVRI11,1.1855
URPR11,0.7076
VCJR11,0.987
VGHF11,1.0651
TRXF11,1.348
SARE11,0.2999
XPML11,4.4761
XPIN11,0.3919000000000001
XPCI11,0.5445
WHGR11,0.1775
VSLH11,0.0699
XPLG11,2.0871
VIUR11,0.12
VISC11,2.3858
VINO11,0.4188
VILG11,0.8935000000000001
VRTA11,0.9848000000000001
Total,100.0
