IFIX - Carteira do Dia 31/10/2024
Código,Part. (%)
BCRI11,0.2905
XPSF11,0.21290000000000003
BPFF11,0.2013
BLMG11,0.104
BCIA11,0.2506
GARE11,0.8316
ARRI11,0.116
ALZR11,0.9079
AJFI11,0.1689
AIEC11,0.164
BPML11,0.4491
BARI11,0.2538
BRCO11,1.2683
BTRA11,0.0942
BROF11,0.3993
BTAL11,0.3065
BTCI11,0.6663
BTLG11,3.0657
CACR11,0.3599
CLIN11,0.2948
CPSH11,0.4646
CPTS11,1.6767
CVBI11,0.7067
CYCR11,0.1033
DEVA11,0.3391
BRCR11,0.857
GGRC11,0.7896000000000001
FATN11,0.2228
KNHY11,2.125
GTWR11,0.6563
HABT11,0.4852
HCTR11,0.44600000000000006
HFOF11,1.0852
HGBS11,1.8442
HGCR11,1.1105
HGFF11,0.1611
HGLG11,3.8489000000000004
HGPO11,0.3904
HGRE11,0.9252
HGRU11,2.5278
HSAF11,0.1466
HSLG11,0.7598
HSML11,1.3246
HTMX11,0.2106
INLG11,0.2036
IRDM11,1.7864000000000002
JSAF11,0.4895
JSRE11,0.9485
KCRE11,0.2326
KFOF11,0.3947
KISU11,0.2422
KIVO11,0.1277
KNCR11,6.7977
KNHF11,1.2773
GZIT11,0.7736
KNIP11,5.3864
ZAVI11,0.0901
KNSC11,1.2235
KORE11,0.6442
LVBI11,1.2173
MALL11,0.9591999999999999
MANA11,0.23540000000000003
MCCI11,1.0478
MCHY11,0.6933
MFII11,0.3852
MXRF11,3.107
OUJP11,0.1865
PATL11,0.1917
PORD11,0.2201
RBFF11,0.147
RZAK11,0.5029
RBRF11,0.6787
RBRL11,0.3462
RBRP11,0.4687
RBRR11,0.9273999999999999
RBRX11,0.1828
RBRY11,0.8614
RBVA11,0.9117
RCRB11,0.3565
RECR11,1.4961
RECT11,0.1857
RVBI11,0.5197
AFHI11,0.3103
PVBI11,1.5936
RZAT11,0.2369
KNRI11,2.8571
SARE11,0.2676
KNUQ11,1.1603
SNCI11,0.2753
SNEL11,0.42440000000000005
SNFF11,0.27
SPXS11,0.1372
TEPP11,0.2689
TGAR11,1.7365
TRBL11,0.3964
TRXF11,1.4721
TVRI11,1.12
URPR11,0.5881
VCJR11,0.9159
VGHF11,0.9400999999999999
RZTR11,1.1942
VGIR11,1.1147
XPML11,4.2064
XPLG11,2.1104
XPIN11,0.3799
VGIP11,0.7027
WHGR11,0.2013
XPCI11,0.5069
VRTA11,0.9378
VIUR11,0.11
VISC11,2.2323
VINO11,0.3048
VILG11,0.8954
VSLH11,0.073
Total,100.0
