IFIX - Carteira do Dia 16/09/2024
Código,Part. (%)
BPFF11,0.21180000000000002
BLMG11,0.1203
BCRI11,0.2977
BCIA11,0.2628
AIEC11,0.1819
BARI11,0.2483
ARRI11,0.11670000000000001
ALZR11,0.9178999999999999
AJFI11,0.1779
FATN11,0.2178
BCFF11,1.1533
BPML11,0.4733
BTLG11,3.0239
BROF11,0.3857
BTAL11,0.3224
BTCI11,0.6894
BTRA11,0.1045
CACR11,0.3565
CLIN11,0.2857
CPSH11,0.46649999999999997
CPTS11,1.8014999999999999
CVBI11,0.7068
CYCR11,0.11100000000000002
KNRI11,2.9088
BRCO11,1.2416
GARE11,0.8018
HSLG11,0.7618
KNHY11,2.0859
ZAVI11,0.087
GGRC11,0.7866
GZIT11,0.8687
HABT11,0.48989999999999995
HCTR11,0.4505
HFOF11,1.1023
HGBS11,1.8686
HGCR11,1.098
HGFF11,0.1612
HGLG11,3.7659
HGPO11,0.3652
HGRE11,0.9008
GTWR11,0.6842
HGRU11,2.4585
DEVA11,0.3697
HSML11,1.3442
HTMX11,0.20850000000000002
IRDM11,1.7763
JSAF11,0.5129
JSRE11,0.9107999999999999
KCRE11,0.23809999999999998
KFOF11,0.4095
KISU11,0.2484
KIVO11,0.1222
KNCR11,5.1166
KNHF11,1.3012
HSAF11,0.1478
KNIP11,5.2647
BRCR11,0.9172
KNSC11,1.2128
KORE11,0.6896
LGCP11,0.20509999999999998
LVBI11,1.2424
MALL11,0.9587999999999999
MANA11,0.2373
MCCI11,1.0283
MCHY11,0.7203
MFII11,0.3706
MXRF11,3.0415
OUJP11,0.1802
PATL11,0.2088
PVBI11,1.7049999999999998
RZAK11,0.5023
RBFF11,0.1575
RBRL11,0.3718
RBRP11,0.4743
RBRR11,0.9388000000000001
RBRX11,0.1832
RBRY11,0.8344
RBVA11,0.91
RCRB11,0.335
RECR11,1.5124
RECT11,0.2
RVBI11,0.5239
AFHI11,0.3062
XPSF11,0.2241
RBRF11,0.6946
KNUQ11,1.1198
PORD11,0.2264
SARE11,0.2525
RZAT11,0.2559
SNCI11,0.2712
SNEL11,0.11889999999999999
SNFF11,0.2781
SPXS11,0.1297
TEPP11,0.2585
TGAR11,1.9227
TRBL11,0.5051
TRXF11,1.4687
TVRI11,1.1027
URPR11,0.6595
VCJR11,0.9282
VGHF11,1.0104
RZTR11,1.204
VGIR11,1.0845
VGIP11,0.7091
XPLG11,2.1001
XPIN11,0.3819
XPCI11,0.5295
WHGR11,0.2049
VSLH11,0.0729
XPML11,4.3091
VIUR11,0.1218
VISC11,2.1917
VINO11,0.3289
VILG11,0.9116
VRTA11,0.9634999999999999
Total,100.0
