IFIX - Carteira do Dia 17/01/2024
Código,Part. (%)
RZAK11,0.6153
XPPR11,0.12439999999999998
XPML11,3.4546
XPSF11,0.2907
XPLG11,2.5961
RECR11,1.8067
RECT11,0.3072
RZAT11,0.276
RZTR11,1.1562
VGHF11,0.709
SPXS11,0.1494
XPIN11,0.4615
VGIP11,0.8297000000000001
VCRI11,0.1203
VGIR11,0.7973000000000001
VCJR11,1.088
URPR11,0.8373999999999999
VILG11,1.1209
TVRI11,1.2825
VINO11,0.5116
TRXF11,1.3506
VISC11,2.616
SADI11,0.1091
TRBL11,0.496
VIUR11,0.1688
TGAR11,1.8449
VRTA11,1.0794
TEPP11,0.3138
VSLH11,0.0986
SNFF11,0.1944
WHGR11,0.193
SNCI11,0.331
RCRB11,0.46649999999999997
SARE11,0.3477
TORD11,0.061200000000000004
XPCI11,0.6024
LVBI11,1.3365
RBRY11,0.7918
CVBI11,0.8191999999999999
CYCR11,0.1235
DEVA11,0.4585000000000001
GALG11,0.9066
GGRC11,0.8146
GTWR11,0.8245
CPTS11,2.1111
HABT11,0.5732
HFOF11,1.4197
HGBS11,2.2938
HGCR11,1.3042
HGFF11,0.20309999999999997
HGLG11,4.3643
HGPO11,0.3946
HCTR11,0.6735
CACR11,0.3121
BTRA11,0.1598
BTLG11,2.3321
RBVA11,1.2773
AFHI11,0.3401
AIEC11,0.2107
ALZR11,0.9313
ARRI11,0.0923
BARI11,0.3053
BCFF11,1.4609
BCIA11,0.3092
BCRI11,0.3747
BLMG11,0.12090000000000001
BLMR11,0.1364
BRCO11,1.4665
BRCR11,1.276
BROF11,0.5242
BTAL11,0.3698
HGRE11,1.2507
HGRU11,2.0302
BTCI11,0.786
HSLG11,0.9719
MORC11,0.1332
MORE11,0.1376
MXRF11,2.7008
OUJP11,0.24919999999999998
PATL11,0.271
PORD11,0.272
MFII11,0.3444
PVBI11,1.5582
RBRF11,0.8671
RBRL11,0.4667
RBRP11,0.5433
RBRR11,1.0728
HSAF11,0.1737
RBRX11,0.1352
RBFF11,0.1806
MCHF11,0.2343
PLCR11,0.1477
MALL11,0.8516000000000001
HTMX11,0.20210000000000003
MCCI11,1.2636
IRDM11,2.2863
JSAF11,0.2781
JSRE11,1.2696
KFOF11,0.3627
KISU11,0.2936
KNCR11,4.6652
KCRE11,0.2812
KNHY11,1.543
KNIP11,6.1148
KNRI11,3.1615
KNSC11,0.9615
LGCP11,0.2541
HSML11,1.464
Total,100.0
