IFIX - Carteira do Dia 19/09/2024
Código,Part. (%)
BRCR11,0.9131999999999999
VSLH11,0.0737
BRCO11,1.2282
BCIA11,0.2613
BPML11,0.4781000000000001
BPFF11,0.2121
VISC11,2.2008
BLMG11,0.1193
BCRI11,0.2979
BROF11,0.3765
WHGR11,0.2046
VRTA11,0.9612
HGLG11,3.7804
BTCI11,0.6928
VIUR11,0.1205
BTLG11,3.0239
BTRA11,0.1037
HABT11,0.4954
HCTR11,0.4524
KNHY11,2.0946
KNIP11,5.3085
KNRI11,2.9032
RZAT11,0.2576
KNSC11,1.2187
XPIN11,0.3784
BTAL11,0.3233
BCFF11,1.1505
KNUQ11,1.1316
XPLG11,2.0908
CLIN11,0.2831
VCJR11,0.9359
VINO11,0.312
GARE11,0.8032000000000001
CPSH11,0.4661
GZIT11,0.8701000000000001
DEVA11,0.37
CYCR11,0.11200000000000002
CPTS11,1.7881999999999998
VILG11,0.9020999999999999
GTWR11,0.6793
VGIR11,1.0779
BARI11,0.24709999999999996
FATN11,0.2192
VGHF11,1.0131
VGIP11,0.7149
RBRP11,0.4724
CACR11,0.3591
XPCI11,0.5299
AFHI11,0.3095
XPSF11,0.2218
AIEC11,0.1818
AJFI11,0.1786
XPML11,4.2928
ALZR11,0.9094999999999999
ARRI11,0.11790000000000002
CVBI11,0.7133
RZAK11,0.4986
GGRC11,0.7897
LGCP11,0.2053
TRXF11,1.4707
RBRR11,0.955
HGPO11,0.366
TRBL11,0.4979
HGRE11,0.8954
HGRU11,2.4405
TGAR11,1.8565000000000003
HSAF11,0.1483
HSLG11,0.7568
TEPP11,0.26
HSML11,1.3437
HTMX11,0.2073
SPXS11,0.1309
IRDM11,1.759
JSAF11,0.5172
SNFF11,0.2807
JSRE11,0.9134999999999999
KCRE11,0.2395
SNEL11,0.1215
KFOF11,0.4112
KISU11,0.2477
SNCI11,0.2727
KIVO11,0.123
KNCR11,5.1335
ZAVI11,0.0859
HGFF11,0.1611
HGCR11,1.1079
KORE11,0.6919
HGBS11,1.8683999999999998
RVBI11,0.5189
LVBI11,1.2331
MALL11,0.95
RECT11,0.19970000000000002
MANA11,0.23739999999999997
MCCI11,1.0473
RECR11,1.5311
MCHY11,0.7137
MFII11,0.3714
RCRB11,0.3389
MXRF11,3.0596
OUJP11,0.1818
RBVA11,0.9004
TVRI11,1.1188
PORD11,0.2251
HFOF11,1.0992
SARE11,0.2581
URPR11,0.6626
PATL11,0.2096
RZTR11,1.2046
KNHF11,1.3131
RBRF11,0.6865
RBRX11,0.1792
RBFF11,0.1583
PVBI11,1.6847
RBRY11,0.8528000000000001
RBRL11,0.3723
Total,100.0
