IFIX - Carteira do Dia 16/12/2024
Código,Part. (%)
ZAVI11,0.079
AFHI11,0.324
XPIN11,0.3794
XPCI11,0.4951
WHGR11,0.2063
VSLH11,0.0708
VRTA11,0.9011
VIUR11,0.1166
VISC11,2.1252
VINO11,0.302
VILG11,0.8655000000000002
VGIR11,1.1045
VGIP11,0.6824
XPLG11,2.1442
VGHF11,0.9319
URPR11,0.48960000000000004
TVRI11,1.0846
TRXF11,1.5589
TRBL11,0.3659
TGAR11,1.6789000000000003
TEPP11,0.24979999999999997
SPXS11,0.1294
SNFF11,0.2791
SNEL11,0.4627
SNCI11,0.2713
KNUQ11,1.1638
VCJR11,0.8384
XPML11,4.3286
SARE11,0.2716
RZTR11,1.2564
RECT11,0.1813
RECR11,1.4755
RCRB11,0.3389
RBVA11,0.8203999999999999
RBRY11,0.8043
RBRX11,0.1679
RBRR11,0.9676
RBRP11,0.4789
RBRL11,0.3374
RBRF11,0.6566
RZAK11,0.5062
RBFF11,0.141
PORD11,0.21960000000000002
PATL11,0.1747
OUJP11,0.1851
MXRF11,3.1819
MFII11,0.3523
MCRE11,0.6564
MCCI11,1.0301
MANA11,0.22559999999999997
MALL11,0.9753
LVBI11,1.181
KORE11,0.5815
PVBI11,1.6096
RZAT11,0.23809999999999998
KNSC11,1.2117
RVBI11,0.5062
KNRI11,2.9827
KNIP11,5.6531
KNHY11,2.2243
KNHF11,1.2321
KNCR11,7.0229
KIVO11,0.1018
KISU11,0.2444
KFOF11,0.39820000000000005
KCRE11,0.22759999999999997
JSRE11,0.9605
JSAF11,0.4473
IRDM11,1.7603999999999997
INLG11,0.1832
GZIT11,0.709
HTMX11,0.4029
HSLG11,0.7565
HSAF11,0.1436
HGRU11,2.5011
HGRE11,0.9346
HGPO11,0.1735
HGLG11,4.0979
HGFF11,0.1513
HGCR11,1.1175
HGBS11,1.8474000000000002
HFOF11,0.9971000000000001
HCTR11,0.3263
HSML11,1.2117
GGRC11,0.8113
XPSF11,0.20399999999999996
GARE11,1.1556
FATN11,0.21020000000000003
DEVA11,0.3025
CYCR11,0.10689999999999998
CVBI11,0.644
CPTS11,1.6452000000000002
CPSH11,0.4709
CLIN11,0.2736
CACR11,0.3151
BTRA11,0.108
BTLG11,3.1225
BTCI11,0.638
BTAL11,0.3268
BROF11,0.39629999999999993
BRCR11,0.8567999999999999
BRCO11,1.2375
BPML11,0.41270000000000007
BPFF11,0.1965
BLMG11,0.0876
BCRI11,0.2941
BCIA11,0.2319
BARI11,0.23070000000000002
ARRI11,0.1158
ALZR11,0.9504999999999999
AJFI11,0.1807
AIEC11,0.1659
GTWR11,0.6841
HABT11,0.4539
Total,100.0
