IFIX - Carteira do Dia 16/05/2024
Código,Part. (%)
BLMG11,0.1181
BCRI11,0.3091
BCIA11,0.2801
BCFF11,1.2793
BARI11,0.2684
ALZR11,1.0774
AJFI11,0.20850000000000002
AIEC11,0.1811
BRCR11,1.0626
BPFF11,0.22589999999999996
ARRI11,0.1142
BRCO11,1.4635
CYCR11,0.1141
BROF11,0.4698
FATN11,0.1625
BTAL11,0.3037
BTCI11,0.7141
BTLG11,3.1417
BTRA11,0.1365
CACR11,0.2905
CLIN11,0.3024
CPFF11,0.1384
CPTS11,1.9129
CVBI11,0.7441
GARE11,0.8245
XPSF11,0.2535
GGRC11,0.8163
DEVA11,0.4741
KNRI11,3.4351
XPPR11,0.1036
HABT11,0.5329
HCTR11,0.5087
HFOF11,1.2413
HGBS11,2.0077
HGCR11,1.1498
HGFF11,0.1819
HGLG11,3.926
HGPO11,0.3878
HGRE11,1.0455
HGRU11,1.7185
HSAF11,0.1554
HSLG11,0.8365000000000001
HSML11,1.4228
HTMX11,0.1905
IRDM11,1.9927000000000001
JSAF11,0.5498
JSRE11,1.0177
KCRE11,0.2541
KFOF11,0.3069
KISU11,0.2679
KNCR11,4.2219
KNHF11,1.4007
KNHY11,2.1402
KNIP11,5.5416
GTWR11,0.7228
KNSC11,0.8725
VGIR11,0.9329999999999999
LGCP11,0.21479999999999996
MCCI11,1.0866
MCHY11,0.7695
MFII11,0.3303
MXRF11,2.4661
NCHB11,0.1067
OUJP11,0.2153
PATL11,0.2218
PLCR11,0.1325
PORD11,0.24560000000000004
PVBI11,1.7659
RBRF11,0.7546
MALL11,1.0543
RZAT11,0.2659
RBRP11,0.539
RBRR11,0.997
RBRX11,0.20210000000000003
RBRY11,1.0031
RBVA11,0.9834
RCRB11,0.41729999999999995
RECR11,1.6784000000000001
RECT11,0.2294
RVBI11,0.5661
RZAK11,0.5454
AFHI11,0.2792
RBRL11,0.3819
RBFF11,0.1687
KORE11,0.7459
RZTR11,1.3024
VGIP11,0.758
SNFF11,0.1809
SPXS11,0.1407
TEPP11,0.2904
TGAR11,1.7043
TORD11,0.0451
TRBL11,0.566
LVBI11,1.3508
TVRI11,1.1451
URPR11,0.7151
VCJR11,0.9735
VGHF11,1.0482
TRXF11,1.3898
VILG11,0.9624
SARE11,0.3114
XPML11,4.5065
XPLG11,2.2173
XPIN11,0.4026
XPCI11,0.5485
SNCI11,0.2899
VSLH11,0.0749
VRTA11,0.9754
VIUR11,0.1301
VISC11,2.5093
VINO11,0.464
WHGR11,0.1779
Total,100.0
