IFIX - Carteira do Dia 02/09/2024
Código,Part. (%)
BPFF11,0.21349999999999997
BLMG11,0.1245
BCRI11,0.2995
BCIA11,0.2617
BCFF11,1.1754
ALZR11,0.907
ARRI11,0.1159
AJFI11,0.1819
AIEC11,0.1824
FATN11,0.2174
BPML11,0.455
BARI11,0.2528
BRCO11,1.2514
KNIP11,5.2801
BROF11,0.3798
BTAL11,0.3177
BTCI11,0.6854
BTLG11,3.0581
BTRA11,0.1067
CACR11,0.352
CLIN11,0.2904
CPSH11,0.46629999999999994
CPTS11,1.7971000000000001
CVBI11,0.7123
CYCR11,0.11080000000000001
KNRI11,2.9721
BRCR11,0.9210000000000002
GARE11,0.7865000000000001
ZAVI11,0.0967
KNHY11,2.0369
GGRC11,0.7979
GZIT11,0.8529
HABT11,0.492
HCTR11,0.45319999999999994
HFOF11,1.0914
HGBS11,1.8456000000000001
HGCR11,1.0879
HGFF11,0.1644
HGLG11,3.7255
HGPO11,0.3638
HGRE11,0.9198
HGRU11,2.4547
HSAF11,0.146
HSLG11,0.7472
HSML11,1.3722
HTMX11,0.1955
IRDM11,1.8066
JSAF11,0.5275
JSRE11,0.9099000000000002
KCRE11,0.2447
KFOF11,0.41869999999999996
KISU11,0.24720000000000003
KIVO11,0.1227
KNCR11,4.9968
KNHF11,1.3196
GTWR11,0.6743
KNSC11,1.1893
DEVA11,0.3855
RZTR11,1.2184
KORE11,0.6907
LGCP11,0.20509999999999998
LVBI11,1.2288
MALL11,0.9846
MANA11,0.2373
MCCI11,1.0521
MCHY11,0.7217
MFII11,0.3709
MXRF11,3.0269
OUJP11,0.1777
PATL11,0.2097
PORD11,0.2242
PVBI11,1.7384
RBFF11,0.157
RBRF11,0.7076
RBRL11,0.37
RBRP11,0.4909
RBRR11,0.9461
RBRX11,0.1845
RBRY11,0.8437
RBVA11,0.9199999999999999
RCRB11,0.3371
RECR11,1.5443
RECT11,0.2055
RVBI11,0.5251
RZAK11,0.5
KNUQ11,1.1084
AFHI11,0.3044
SARE11,0.2566
RZAT11,0.251
SNCI11,0.2814
SNEL11,0.11939999999999999
SNFF11,0.1775
SPXS11,0.1308
TEPP11,0.2581
TGAR11,1.932
TRBL11,0.5125
TRXF11,1.452
TVRI11,1.1248
URPR11,0.6615
VCJR11,0.9299
VGHF11,1.0085
XPSF11,0.2231
VGIR11,1.0847
VGIP11,0.7185
XPML11,4.2671
XPLG11,2.0897
XPIN11,0.3844
WHGR11,0.2059
XPCI11,0.522
VRTA11,0.9519999999999998
VIUR11,0.1196
VISC11,2.2221
VINO11,0.3468
VILG11,0.9023
VSLH11,0.0738
Total,100.0
