IFIX - Carteira do Dia 12/06/2024
Código,Part. (%)
BRCO11,1.4123
BPFF11,0.2293
BLMG11,0.12160000000000001
BCRI11,0.3007
BCIA11,0.2844
ARRI11,0.1398
BARI11,0.2609
ALZR11,1.0512
AJFI11,0.19770000000000001
AIEC11,0.1852
BCFF11,1.2337
BRCR11,1.0378
CYCR11,0.1136
FATN11,0.16
BTAL11,0.3197
BTCI11,0.7157
BTLG11,3.1183
BTRA11,0.1287
CACR11,0.3748
CLIN11,0.3013
CPFF11,0.1383
CPTS11,1.923
CVBI11,0.7384
GARE11,0.8224
BROF11,0.4596
GGRC11,0.8060000000000002
XPPR11,0.0966
KNRI11,3.4137
XPSF11,0.24790000000000004
DEVA11,0.4251
HABT11,0.5058
HCTR11,0.4622
HFOF11,1.198
HGBS11,1.9566
HGCR11,1.1597
HGFF11,0.1766
HGLG11,3.9058999999999995
HGPO11,0.3936
HGRE11,0.9795
HGRU11,1.6944000000000001
GTWR11,0.7271
HSAF11,0.155
HSML11,1.4152
HTMX11,0.1971
IRDM11,1.9243
JSAF11,0.5365
JSRE11,0.9784000000000002
KCRE11,0.2503
KFOF11,0.2929
KISU11,0.2722
KNCR11,5.0371
KNHF11,1.3749
KNHY11,2.1356
KNIP11,5.5511
HSLG11,0.8187999999999999
KNSC11,0.8665
VGIR11,0.9632
LGCP11,0.2151
MCCI11,1.0849
MCHY11,0.7816
MFII11,0.3277
MXRF11,2.4549
NCHB11,0.1015
OUJP11,0.19870000000000002
PATL11,0.22160000000000002
PLCR11,0.1299
PORD11,0.2444
PVBI11,1.6982999999999997
KORE11,0.7399
MALL11,1.0133
RZAT11,0.2541
RBRP11,0.5009
RBRR11,0.9752000000000001
RBRX11,0.1981
RBRY11,0.9840999999999999
RBVA11,0.9708
RCRB11,0.39170000000000005
RECR11,1.6285
RECT11,0.21789999999999998
RVBI11,0.5529
RZAK11,0.5356
AFHI11,0.3683
RBRL11,0.3797
RBFF11,0.1675
RBRF11,0.7601
RZTR11,1.2785
LVBI11,1.3354
VGIP11,0.7702
SNFF11,0.1792
SPXS11,0.1426
TEPP11,0.2821
TGAR11,2.1413
TORD11,0.0362
TRXF11,1.3676
TVRI11,1.1908
URPR11,0.711
VCJR11,0.9806
VGHF11,1.049
TRBL11,0.5529
VILG11,0.9148
SARE11,0.3099
XPML11,4.3757
XPLG11,2.2097
XPIN11,0.39139999999999997
XPCI11,0.54
WHGR11,0.1741
SNCI11,0.2849
VRTA11,0.9873
VIUR11,0.1212
VISC11,2.3762
VINO11,0.4406999999999999
VSLH11,0.0733
Total,100.0
